scenario,policy,seed,candidate_groups,useful_groups,retained_fraction,completed_steps,candidate_groups_per_completed_step,unique_tasks,duplicate_fallbacks,arithmetic_candidate_share,algebra_candidate_share,geometry_candidate_share,probability_candidate_share
fast_saturation,random,35,224,200,0.8928571428571429,20,11.2,224,0,0.25892857142857145,0.24107142857142858,0.23214285714285715,0.26785714285714285
fast_saturation,random,36,226,200,0.8849557522123894,20,11.3,226,0,0.26991150442477874,0.19911504424778761,0.252212389380531,0.27876106194690264
fast_saturation,random,37,225,200,0.8888888888888888,20,11.25,225,0,0.24,0.26222222222222225,0.27111111111111114,0.22666666666666666
fast_saturation,random,38,226,200,0.8849557522123894,20,11.3,226,0,0.23008849557522124,0.23008849557522124,0.2831858407079646,0.25663716814159293
fast_saturation,random,39,231,200,0.8658008658008658,20,11.55,231,0,0.2554112554112554,0.24242424242424243,0.2554112554112554,0.24675324675324675
fast_saturation,adaptive,0,245,199,0.8122448979591836,19,12.894736842105264,175,0,0.2571428571428571,0.24081632653061225,0.23265306122448978,0.2693877551020408
fast_saturation,adaptive,1,238,200,0.8403361344537815,20,11.9,179,0,0.19747899159663865,0.24789915966386555,0.2689075630252101,0.2857142857142857
fast_saturation,adaptive,2,243,200,0.823045267489712,20,12.15,160,0,0.2222222222222222,0.22633744855967078,0.27983539094650206,0.2716049382716049
fast_saturation,adaptive,3,245,200,0.8163265306122449,20,12.25,178,0,0.2,0.23673469387755103,0.3020408163265306,0.2612244897959184
fast_saturation,adaptive,4,237,199,0.8396624472573839,19,12.473684210526315,176,0,0.2616033755274262,0.23628691983122363,0.25316455696202533,0.2489451476793249
fast_saturation,adaptive,5,253,199,0.7865612648221344,19,13.31578947368421,161,0,0.2648221343873518,0.2885375494071146,0.24110671936758893,0.20553359683794467
fast_saturation,adaptive,6,244,200,0.819672131147541,20,12.2,184,0,0.25,0.22540983606557377,0.24180327868852458,0.2827868852459016
fast_saturation,adaptive,7,255,200,0.7843137254901961,20,12.75,180,0,0.18823529411764706,0.25098039215686274,0.25098039215686274,0.30980392156862746
fast_saturation,adaptive,8,238,200,0.8403361344537815,20,11.9,171,0,0.2605042016806723,0.24789915966386555,0.25630252100840334,0.23529411764705882
fast_saturation,adaptive,9,237,200,0.8438818565400844,20,11.85,166,0,0.24050632911392406,0.27848101265822783,0.20253164556962025,0.27848101265822783
fast_saturation,adaptive,10,236,200,0.847457627118644,20,11.8,168,0,0.2627118644067797,0.2754237288135593,0.2288135593220339,0.2330508474576271
fast_saturation,adaptive,11,252,200,0.7936507936507936,20,12.6,191,0,0.29365079365079366,0.23412698412698413,0.1984126984126984,0.27380952380952384
fast_saturation,adaptive,12,252,198,0.7857142857142857,18,14.0,170,0,0.30158730158730157,0.26587301587301587,0.21031746031746032,0.2222222222222222
fast_saturation,adaptive,13,234,200,0.8547008547008547,20,11.7,160,0,0.2692307692307692,0.27350427350427353,0.23076923076923078,0.2264957264957265
fast_saturation,adaptive,14,243,200,0.823045267489712,20,12.15,173,0,0.22633744855967078,0.26337448559670784,0.23045267489711935,0.27983539094650206
fast_saturation,adaptive,15,250,199,0.796,19,13.157894736842104,184,0,0.26,0.224,0.224,0.292
fast_saturation,adaptive,16,250,199,0.796,19,13.157894736842104,180,0,0.224,0.26,0.272,0.244
fast_saturation,adaptive,17,241,200,0.8298755186721992,20,12.05,173,0,0.24066390041493776,0.21991701244813278,0.2987551867219917,0.24066390041493776
fast_saturation,adaptive,18,248,200,0.8064516129032258,20,12.4,180,0,0.28225806451612906,0.22983870967741934,0.20967741935483872,0.2782258064516129
fast_saturation,adaptive,19,253,200,0.7905138339920948,20,12.65,176,0,0.2450592885375494,0.233201581027668,0.25691699604743085,0.2648221343873518
fast_saturation,adaptive,20,244,200,0.819672131147541,20,12.2,177,0,0.28688524590163933,0.21721311475409835,0.2336065573770492,0.26229508196721313
fast_saturation,adaptive,21,251,200,0.796812749003984,20,12.55,165,0,0.26693227091633465,0.250996015936255,0.22310756972111553,0.2589641434262948
fast_saturation,adaptive,22,246,200,0.8130081300813008,20,12.3,173,0,0.21544715447154472,0.2804878048780488,0.23983739837398374,0.26422764227642276
fast_saturation,adaptive,23,242,199,0.8223140495867769,19,12.736842105263158,168,0,0.29338842975206614,0.19008264462809918,0.23140495867768596,0.28512396694214875
fast_saturation,adaptive,24,244,200,0.819672131147541,20,12.2,171,0,0.19672131147540983,0.19262295081967212,0.3114754098360656,0.29918032786885246
